mt,btu,bt,bet,p,ph,rt,asc,ad,e,pt,target
18,0,73,8.6,3.8,6,25,21.23,0.2,24,25,0.03
14,0,51,300.74,0.3318,10,30,0.5,2,24,700,0.037
14,0,63,43.39,0.016,5,25,1,0.2,48,550,0.0372
14,0,64,43.39,0.016,11,25,1,1,48,550,0.0393
14,0,50,390.91,0.6261,10,30,0.5,2,24,700,0.045
14,0,64,43.39,0.016,5,15,1,1,48,550,0.0535
14,0,51,300.74,0.3318,9,30,0.5,2,24,700,0.054
14,0,50,390.91,0.6261,9,30,0.5,2,24,700,0.057
14,0,64,43.39,0.016,5,35,1,1,48,550,0.0849
14,0,50,390.91,0.6261,6,30,0.4,2,24,700,0.086
14,0,49,188.31,0.2918,10,30,0.5,2,24,700,0.094
14,0,51,300.74,0.3318,8,30,0.5,2,24,700,0.095
14,0,23,16,0.081,5.8,20,0.1,2,24,600,0.0964
14,0,64,43.39,0.016,1,25,1,1,48,550,0.0997
14,0,50,390.91,0.6261,8,30,0.5,2,24,700,0.102
14,0,51,300.74,0.3318,6,30,0.4,2,24,700,0.10976
14,0,49,188.31,0.2918,9,30,0.5,2,24,700,0.12
14,0,64,43.39,0.016,5,20,1,1,48,550,0.12
14,0,40,60.67,0.081,7,25,50,8,6,600,0.121
14,0,64,43.39,0.016,9,25,1,1,48,550,0.124
14,0,51,300.74,0.3318,7,30,0.5,2,24,700,0.144
14,0,50,390.91,0.6261,6,30,0.6,2,24,700,0.148
14,0,50,390.91,0.6261,7,30,0.5,2,24,700,0.149
14,0,49,188.31,0.2918,8,30,0.5,2,24,700,0.157
14,0,49,188.31,0.2918,6,30,0.4,2,24,700,0.162
12,0,20,181,0.016,7,25,0.26,1,24,500,0.17
14,0,51,300.74,0.3318,5,30,0.5,2,24,700,0.174
14,0,49,188.31,0.2918,7,30,0.5,2,24,700,0.177
2,0,3,56.64,0.15,6.5,25,0.5,0.2,0.03,180,0.18
14,0,50,390.91,0.6261,6,30,0.5,2,24,700,0.187
14,0,51,300.74,0.3318,6,30,0.5,2,24,700,0.187
14,0,49,188.31,0.2918,6,30,0.5,2,24,700,0.192
14,0,64,43.39,0.016,5,25,1,0.5,48,550,0.193
14,0,50,390.91,0.6261,4,30,0.5,2,24,700,0.194
14,0,48,188.31,0.2918,4,30,0.5,2,24,700,0.196
14,0,51,300.74,0.3318,4,30,0.5,2,24,700,0.202
