mt,btu,bt,bet,p,ph,rt,asc,ad,e,pt,target
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,2,25,10,2,24,60,3.82
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,4,25,10,2,24,60,4.22
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,5,25,10,2,24,60,4.13
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,6,25,10,2,24,60,3.82
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,7,25,10,2,24,60,3.6
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,8,25,10,2,24,60,3.25
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,9,25,10,2,24,60,2.65
"bentonite
",Modified,3-mercaptopropyltrimethoxysilane(3-MPTS),4.68,0.071,10,25,10,2,24,60,1.98
clay,Modified,HybridSorbent,87.51,0.09,6.5,25,0.17,1,1,25,0.89
clay,Modified,HybridSorbent,87.51,0.09,6.5,25,0.8,1,1,25,4.12
clay,Modified,HybridSorbent,87.51,0.09,6.5,25,4.25,1,1,25,5.82
clay,Modified,HybridSorbent,87.51,0.09,6.5,25,8.87,1,1,25,6.25
clay,Modified,HybridSorbent,87.51,0.09,6.5,25,13.48,1,1,25,6.64
clay,Modified,HybridSorbent,87.51,0.09,6.5,25,18.23,1,1,25,6.8
clay,Modified,HybridSorbent,87.51,0.09,6.5,25,23.43,1,1,25,6.64
clay,Modified,HybridSorbent,87.51,0.09,6.5,50,0.12,1,1,25,0.45
clay,Modified,HybridSorbent,87.51,0.09,6.5,50,0.71,1,1,25,4.12
clay,Modified,HybridSorbent,87.51,0.09,6.5,50,3.26,1,1,25,6.74
clay,Modified,HybridSorbent,87.51,0.09,6.5,50,7.3,1,1,25,7.73
clay,Modified,HybridSorbent,87.51,0.09,6.5,50,12.27,1,1,25,7.79
clay,Modified,HybridSorbent,87.51,0.09,6.5,50,17.48,1,1,25,7.46
clay,Modified,HybridSorbent,87.51,0.09,6.5,50,22.32,1,1,25,7.63
clay,Modified,HybridSorbent,87.51,0.09,6.5,70,0.08,1,1,25,0.57
clay,Modified,HybridSorbent,87.51,0.09,6.5,70,0.58,1,1,25,4.45
clay,Modified,HybridSorbent,87.51,0.09,6.5,70,3.22,1,1,25,6.91
clay,Modified,HybridSorbent,87.51,0.09,6.5,70,5.46,1,1,25,9.53
clay,Modified,HybridSorbent,87.51,0.09,6.5,70,9.99,1,1,25,10.14
clay,Modified,HybridSorbent,87.51,0.09,6.5,70,14.92,1,1,25,10.14
clay,Modified,HybridSorbent,87.51,0.09,6.5,70,19.31,1,1,25,10.79
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,0.083,150,11.21
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,0.17,150,11.64
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,0.25,150,12.08
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,0.33,150,12.4
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,0.5,150,13.28
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,1,150,13.88
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,2,150,14.12
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,4,150,14.5
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,6,150,14.97
TiO2,Modified,Zr,114,0.39,9,20,10,0.5,12,150,15.46
TiO2,Modified,CuO,56.64,0.15,6.5,25,0.5,0.2,0.03,180,0.18
TiO2,Modified,CuO,56.64,0.15,6.5,25,0.5,0.2,0.083,180,1.47
TiO2,Modified,CuO,56.64,0.15,6.5,25,0.5,0.2,0.17,180,1.82
TiO2,Modified,CuO,56.64,0.15,6.5,25,0.5,0.2,0.33,180,2.22
TiO2,Modified,CuO,56.64,0.15,6.5,25,0.5,0.2,0.5,180,2.32
TiO2,Modified,CuO,56.64,0.15,6.5,25,0.5,0.2,0.67,180,2.36
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,0.03,180,2.1
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,0.083,180,2.98
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,0.17,180,3.52
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,0.33,180,3.92
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,0.5,180,4.2
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,0.67,180,4.5
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,1,180,4.64
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,1.33,180,4.76
TiO2,Modified,CuO,56.64,0.15,6.5,25,1,0.2,1.67,180,4.78
FeOx,Modified,"diatom
??",,,7,25,0.06,0.14,,90,2.69
FeOx,Modified,"diatom
??",,,7,25,0.09,0.14,,90,3.87
FeOx,Modified,"diatom
??",,,7,25,0.13,0.14,,90,5.08
FeOx,Modified,"diatom
??",,,7,25,0.19,0.14,,90,5.97
FeOx,Modified,"diatom
??",,,7,25,0.3,0.14,,90,0.86
copperferritebiryoxide,Modified,Nifoam,,,7,30,1.94,,3,30,8.12
copperferritebiryoxide,Modified,Nifoam,,,7,30,1.1,,3,30,14.83
copperferritebiryoxide,Modified,Nifoam,,,7,30,5.69,,3,30,48.05
copperferritebiryoxide,Modified,Nifoam,,,7,30,9.48,,3,30,72.02
copperferritebiryoxide,Modified,Nifoam,,,7,30,19.44,,3,30,110.5
copperferritebiryoxide,Modified,Nifoam,,,7,30,39.9,,3,30,130.88
copperferritebiryoxide,Modified,Nifoam,,,7,30,79.21,,3,30,136.72
copperferritebiryoxide,Modified,Nifoam,,,7,30,120.14,,3,30,136.2
copperferritebiryoxide,Modified,Nifoam,,,7,30,160.51,,3,30,135.91
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,10.54,,24,120,16.41
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,14.02,,24,120,18.89
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,32.65,,24,120,30.6
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,54.52,,24,120,36.71
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,77.62,,24,120,38.93
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,101.95,,24,120,41.2
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,126.91,,24,120,42.16
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,150.43,,24,120,42.71
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,30,174.97,,24,120,43.33
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,12.58,,24,120,14.76
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,16.06,,24,120,16.49
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,35.5,,24,120,25.77
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,58,,24,120,29.9
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,81.73,,24,120,32.73
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,105.25,,24,120,34.31
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,129.97,,24,120,35.07
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,155.53,,24,120,35.07
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,45,179.89,,24,120,35.76
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,13,,24,120,13.11
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,16.48,,24,120,15.86
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,38.17,,24,120,20.74
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,60.85,,24,120,25.64
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,85.18,,24,120,26.53
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,109.54,,24,120,27.29
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,133.66,,24,120,29.84
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,158.2,,24,120,30.31
FeOOH/CuO,Modified,waterbamboocellulose,,,3.5,60,182.14,,24,120,31.49
cobaltferrites,Modified,Co1,7.5,,2,25,4.09,0.4,4,110,2.57
cobaltferrites,Modified,Co1,7.5,,2,25,12.13,0.4,4,110,6.07
cobaltferrites,Modified,Co1,7.5,,2,25,20.15,0.4,4,110,9.2
cobaltferrites,Modified,Co1,7.5,,2,25,28.04,0.4,4,110,14.69
cobaltferrites,Modified,Co1,7.5,,2,25,35.99,0.4,4,110,23.41
cobaltferrites,Modified,Co2,11.2,,2,25,4.09,0.4,4,110,2.88
cobaltferrites,Modified,Co2,11.2,,2,25,12,0.4,4,110,6.91
cobaltferrites,Modified,Co2,11.2,,2,25,20.15,0.4,4,110,9.31
cobaltferrites,Modified,Co2,11.2,,2,25,28.04,0.4,4,110,14.12
cobaltferrites,Modified,Co2,11.2,,2,25,35.99,0.4,4,110,24.36
cobaltferrites,Modified,Co3,13.4,,2,25,4.09,0.4,4,110,3.14
cobaltferrites,Modified,Co3,13.4,,2,25,12.19,0.4,4,110,6.33
cobaltferrites,Modified,Co3,13.4,,2,25,19.95,0.4,4,110,9.57
cobaltferrites,Modified,Co3,13.4,,2,25,28.17,0.4,4,110,15.21
cobaltferrites,Modified,Co3,13.4,,2,25,36.12,0.4,4,110,22.47
cobaltferrites,Modified,Co4,9.6,,2,25,3.96,0.4,4,110,3.61
cobaltferrites,Modified,Co4,9.6,,2,25,12.06,0.4,4,110,8.89
cobaltferrites,Modified,Co4,9.6,,2,25,19.89,0.4,4,110,9.93
cobaltferrites,Modified,Co4,9.6,,2,25,28.23,0.4,4,110,14.69
cobaltferrites,Modified,Co4,9.6,,2,25,35.99,0.4,4,110,23.72
manganeseferrites,Modified,Mn1,7.5,,2,25,3.95,0.4,4,110,2.7
manganeseferrites,Modified,Mn1,7.5,,2,25,12.11,0.4,4,110,6.41
manganeseferrites,Modified,Mn1,7.5,,2,25,20.09,0.4,4,110,9.17
manganeseferrites,Modified,Mn1,7.5,,2,25,28.01,0.4,4,110,14.03
manganeseferrites,Modified,Mn1,7.5,,2,25,36.05,0.4,4,110,22.08
manganeseferrites,Modified,Mn2,13.8,,2,25,4.01,0.4,4,110,3.11
manganeseferrites,Modified,Mn2,13.8,,2,25,12.11,0.4,4,110,5.88
manganeseferrites,Modified,Mn2,13.8,,2,25,20.21,0.4,4,110,8.81
manganeseferrites,Modified,Mn2,13.8,,2,25,28.01,0.4,4,110,12.88
manganeseferrites,Modified,Mn2,13.8,,2,25,36.11,0.4,4,110,18.32
manganeseferrites,Modified,Mn3,18.1,,2,25,3.95,0.4,4,110,2.32
manganeseferrites,Modified,Mn3,18.1,,2,25,12.18,0.4,4,110,4.26
manganeseferrites,Modified,Mn3,18.1,,2,25,20.21,0.4,4,110,6.92
manganeseferrites,Modified,Mn3,18.1,,2,25,28.01,0.4,4,110,11.47
manganeseferrites,Modified,Mn3,18.1,,2,25,36.18,0.4,4,110,15.81
manganeseferrites,Modified,Mn4,20,,2,25,4.14,0.4,4,110,2.7
manganeseferrites,Modified,Mn4,20,,2,25,12.05,0.4,4,110,4.57
