mt,btu,bt,bet,p,ph,rt,asc,ad,e,pt,target
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,0.25,0.14,0.5,60,1.04
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,0.5,0.14,0.5,60,2.16
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,0.75,0.14,0.5,60,3.06
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,1,0.14,0.5,60,4.14
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,1.25,0.14,0.5,60,4.68
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,1.5,0.14,0.5,60,5.46
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,1.75,0.14,0.5,60,5.42
bentonite,Modified,dimethyldiallylammoniumchloride,128.9,0.15,5,25,2,0.14,0.5,60,5.19
bentonite,Modified,Fe(III),168,0.19,10,25,5.06,2,1,150,2.43
bentonite,Modified,Fe(III),168,0.19,10,25,10.07,2,1,150,4.8
bentonite,Modified,Fe(III),168,0.19,10,25,15.03,2,1,150,5.98
bentonite,Modified,Fe(III),168,0.19,10,25,20.1,2,1,150,8.1
bentonite,Modified,Fe(III),168,0.19,10,35,4.95,2,1,150,2.23
bentonite,Modified,Fe(III),168,0.19,10,35,10.04,2,1,150,4.57
bentonite,Modified,Fe(III),168,0.19,10,35,15.06,2,1,150,5.77
bentonite,Modified,Fe(III),168,0.19,10,35,20.07,2,1,150,7.13
bentonite,Modified,Fe(III),168,0.19,10,45,5.03,2,1,150,2.17
bentonite,Modified,Fe(III),168,0.19,10,45,10.13,2,1,150,4.45
bentonite,Modified,Fe(III),168,0.19,10,45,15.08,2,1,150,4.76
bentonite,Modified,Fe(III),168,0.19,10,45,20.1,2,1,150,5.93
clay,Modified,Fe,,,4,25,1.4,2,1,25,8.97
clay,Modified,Fe,,,4,25,2.28,2,1,25,18.92
clay,Modified,Fe,,,4,25,4.41,2,1,25,27.11
clay,Modified,Fe,,,4,25,7.12,2,1,25,34.05
clay,Modified,Fe,,,4,25,13.2,2,1,25,47.21
clay,Modified,Fe,,,4,25,28.34,2,1,25,52.35
clay,Modified,Fe,,,4,25,44.98,2,1,25,56.07
clay,Modified,Fe,,,4,25,77.69,2,1,25,72.97
clay,Modified,Fe,,,4,25,109.78,2,1,25,90.05
clay,Modified,Fe,,,4,25,157.57,2,1,25,93.07
clay,Modified,Fe,,,4,25,205.41,2,1,25,95.39
clay,Modified,Fe,,,4,25,301.05,2,1,25,99.64
clay,Modified,FeMn,,,4,25,0.45,2,1,25,8.97
clay,Modified,FeMn,,,4,25,1.32,2,1,25,18.14
clay,Modified,FeMn,,,4,25,2.44,2,1,25,26.63
clay,Modified,FeMn,,,4,25,4.98,2,1,25,34.19
clay,Modified,FeMn,,,4,25,12.92,2,1,25,47.16
clay,Modified,FeMn,,,4,25,24.57,2,1,25,56.33
clay,Modified,FeMn,,,4,25,38.17,2,1,25,60.78
clay,Modified,FeMn,,,4,25,69.95,2,1,25,79.77
clay,Modified,FeMn,,,4,25,102.32,2,1,25,97.16
clay,Modified,FeMn,,,4,25,142.34,2,1,25,107.44
clay,Modified,FeMn,,,4,25,190.01,2,1,25,109.02
clay,Modified,FeMn,,,4,25,280.77,2,1,25,119.07
clay,Modified,FeMn,87.51,0.09,6.5,25,0.11,1,1,25,0.41979
clay,Modified,FeMn,87.51,0.09,6.5,25,0.6,1,1,25,4.4182
clay,Modified,FeMn,87.51,0.09,6.5,25,4.12,1,1,25,5.83748
clay,Modified,FeMn,87.51,0.09,6.5,25,8.48,1,1,25,6.54712
clay,Modified,FeMn,87.51,0.09,6.5,25,12.8,1,1,25,7.17283
clay,Modified,FeMn,87.51,0.09,6.5,25,17.47,1,1,25,7.66118
clay,Modified,FeMn,87.51,0.09,6.5,25,22.15,1,1,25,7.83668
clay,Modified,FeMn,87.51,0.09,6.5,50,0.11,1,1,25,0.77842
clay,Modified,FeMn,87.51,0.09,6.5,50,0.47,1,1,25,4.46398
clay,Modified,FeMn,87.51,0.09,6.5,50,3.09,1,1,25,6.72262
clay,Modified,FeMn,87.51,0.09,6.5,50,7.09,1,1,25,7.92825
clay,Modified,FeMn,87.51,0.09,6.5,50,11.95,1,1,25,8.10375
clay,Modified,FeMn,87.51,0.09,6.5,50,16.76,1,1,25,8.23347
clay,Modified,FeMn,87.51,0.09,6.5,50,21.88,1,1,25,8.05797
clay,Modified,FeMn,87.51,0.09,6.5,70,0.11,1,1,25,0.90814
clay,Modified,FeMn,87.51,0.09,6.5,70,0.51,1,1,25,4.4182
clay,Modified,FeMn,87.51,0.09,6.5,70,2.82,1,1,25,7.17283
clay,Modified,FeMn,87.51,0.09,6.5,70,5.98,1,1,25,8.9889
clay,Modified,FeMn,87.51,0.09,6.5,70,10.79,1,1,25,9.34753
clay,Modified,FeMn,87.51,0.09,6.5,70,15.91,1,1,25,9.12625
clay,Modified,FeMn,87.51,0.09,6.5,70,20.85,1,1,25,9.1644
clay,Unmodified,FeMn,12.4,0.05,6.8,,0.99,4,2.5,50,4.8
clay,Unmodified,FeMn,12.4,0.05,6.8,,2.96,4,2.5,50,8.4
clay,Unmodified,FeMn,12.4,0.05,6.8,,8.03,4,2.5,50,13.44
clay,Unmodified,FeMn,12.4,0.05,6.8,,14.99,4,2.5,50,16.85
clay,Unmodified,FeMn,12.4,0.05,6.8,,30.04,4,2.5,50,17.88
clay,Unmodified,FeMn,12.4,0.05,6.8,,35.1,4,2.5,50,17.88
clay,Unmodified,FeMn,9.8,0.04,6.8,,0.83,4,2.5,50,5.61
clay,Unmodified,FeMn,9.8,0.04,6.8,,4.94,4,2.5,50,9.39
clay,Unmodified,FeMn,9.8,0.04,6.8,,7.95,4,2.5,50,10.54
clay,Unmodified,FeMn,9.8,0.04,6.8,,19.94,4,2.5,50,11.8
clay,Unmodified,FeMn,9.8,0.04,6.8,,35.06,4,2.5,50,11.76
clay,Modified,FeMn,114,0.39,3,20,10,0.5,0.083,150,14.43
clay,Modified,FeMn,114,0.39,3,20,10,0.5,0.17,150,15.15
clay,Modified,FeMn,114,0.39,3,20,10,0.5,0.25,150,16.04
clay,Modified,FeMn,114,0.39,3,20,10,0.5,0.33,150,16.25
clay,Modified,FeMn,114,0.39,3,20,10,0.5,0.5,150,18.14
clay,Modified,FeMn,114,0.39,3,20,10,0.5,1,150,18.78
